Music Artist,Recent Tracks,Twitter Volume
KAZU,Salty,N/A
Yu Su,"Little Birds, Moonbath [ft. Michelle Helene Mackenzie]",N/A
Charly Bliss,Hard to Believe,N/A
Lil Uzi Vert,"Sanguine Paradise, Free Uzi",N/A
Crumb,Nina,N/A
Schoolboy Q,CHopstix [ft. Travis Scott],N/A
PJ Harvey,Descending,N/A
Hamilton Scalpel,Uprated Nite Zone,N/A
Lil Nas X,Old Town Road (Remix) [ft. Billy Ray Cyrus],N/A
Pile,The Soft Hands of Stephen Miller,N/A
Saweetie,Trick,N/A
Oso Leone,Virtual U,N/A
Vampire Weekend,"Unbearably White, This Life",N/A
Hot Chip,Hungry Child,N/A
Big Thief,Cattails,N/A
Mac DeMarco,All of Our Yesterdays,N/A
Ariana Grande,Monopoly,N/A
Victoria Monét,Monopoly,N/A
Priests,Jesus’ Son,N/A
Modest Mouse,Poison the Well,N/A
Rosalía,Con Altura,N/A
J Balvin,Con Altura,N/A
Georgia,About Work the Dancefloor,N/A
Phoebe Green,Dreaming Of,N/A
